question,article_number
What are the key responsibilities of the National Police Service Commission?,246
"Who are the members of the Commission, besides the President's appointees?",246
How should the composition of the National Police Service reflect Kenya's diversity?,246
Can Parliament create other police services?,247
Who supervises these services?,247
Who commands these services?,247
Are these services under the National Police Service?,247
Can these services be established by legislation?,247
Which commissions are covered by this Chapter?,248
What are the independent offices mentioned in this Chapter?,248
To which commissions and offices does this Chapter not apply?,248
What is the exception to this Chapter's application?,248
What are the specific commissions and offices listed in this Chapter?,248
What are the primary objectives of the commissions and independent offices as per the constitution?,249
"Who or what are the commissions and independent offices subject to, according to the article?",249
"What is the independence of these bodies from, as per the constitution?",249
How does the constitution ensure adequate funding for these bodies?,249
How is the budget for each commission and independent office structured?,249
How many members can a commission have?,250
What are the steps for appointing a commission member?,250
What term length is a commission member eligible for?,250
Can a commission member hold another job?,250
How is a vice-chairperson elected?,250
Under what circumstances can a member of a commission or holder of an independent office be removed from their position?,251
Who can initiate the process of removing such an individual and how?,251
What are the steps the President must take upon receiving a petition for removal?,251
What is the composition of the tribunal that investigates the matter?,251
What are the entitlements of a person suspended during this process?,251
What triggers an investigation by a commission or independent office holder?,252
What powers do these bodies have for dispute resolution?,252
Who can make a complaint to these bodies?,252
Which specific commissions and independent offices have the power to issue summons for investigations?,252
"What additional functions and powers can these bodies have, besides those outlined in the Constitution?",252
What is the legal status of commissions and independent offices in Kenya?,253
How are these bodies recognized in law?,253
What is the significance of them being bodies corporate?,253
Can these bodies sue or be sued in their own name?,253
What is the implication of their perpetual succession?,253
When do commissions and independent offices submit their annual reports?,254
Who can request a report from these bodies at any time?,254
What happens after a report is submitted under this Article?,254
What is the timeline for submitting annual reports?,254
Who are the recipients of these annual reports?,254
What are the specific matters that require a referendum for constitutional amendment?,255
What is the voting threshold for a referendum on constitutional amendment?,255
How is the voting threshold calculated for a referendum on constitutional amendment?,255
What are the two ways to enact an amendment that doesn't relate to the specified matters?,255
What is the process for enacting an amendment that doesn't relate to the specified matters through Parliament?,255
How can a Bill to amend the Constitution be introduced in Parliament?,256
What restrictions are there on the content of an amendment Bill?,256
What is the timeline for an amendment Bill to be called for second reading?,256
What is the passing requirement for an amendment Bill in both Houses of Parliament?,256
Under what conditions must the President request a national referendum before assenting to an amendment Bill?,256
How many registered voters are needed to propose an amendment via popular initiative?,257
What are the two forms a popular initiative can take?,257
Who verifies the signatures and submits the draft Bill to county assemblies?,257
What is the deadline for county assemblies to consider the draft Bill?,257
What happens if a majority of county assemblies approve the draft Bill?,257
Who can initiate legal action claiming this Constitution has been violated or is at risk of being violated?,258
Can someone act on behalf of another person who can't act for themselves in such cases?,258
Can a person act in the interest of a group or class of persons in these circumstances?,258
Is it possible for someone to act in the public interest in this regard?,258
Can an association act on behalf of one or more of its members in such cases?,258
"How should the Constitution be interpreted to promote its purposes, values, and principles?",259
How does the Constitution advance the rule of law and human rights?,259
What does it mean for the law to be always speaking in the context of the Constitution?,259
How are different language versions of the Constitution handled in case of a conflict?,259
How is time calculated for various purposes under the Constitution?,259
What age defines an adult according to the constitution?,260
Can you explain what 'affirmative action' means in the context of the constitution?,260
How is 'disability' defined in the constitution?,260
What are the different forms of 'document' recognized by the constitution?,260
What is the initial financial year for any entity as per the constitution?,260
What is the timeframe for Parliament to enact legislation required by the Constitution?,261
"Can Parliament extend the timeframe for enacting legislation, and if so, under what conditions?",261
Who is responsible for preparing the relevant Bills for tabling before Parliament?,261
What happens if Parliament fails to enact legislation within the specified time?,261
What are the consequences if the new Parliament also fails to enact the required legislation?,261
What date do the transitional and consequential provisions in the Sixth Schedule come into effect?,262
What are the transitional and consequential provisions that are mentioned in this article?,262
Where can I find these transitional and consequential provisions?,262
What is the purpose of these provisions?,262
What happens on the effective date according to this article?,262
When does the Kenyan Constitution come into force?,263
What triggers the effective date of the Constitution?,263
How is the effective date determined?,263
What role does the President play in the Constitution's commencement?,263
What is the maximum waiting period for the Constitution to come into force after the referendum result is published?,263
What was the previous constitution that was in force before the current one?,264
When did the previous constitution cease to be in effect?,264
What happened to the previous constitution on the effective date of the current one?,264
What is the Sixth Schedule in relation to the repeal of the previous constitution?,264
Are there any exceptions to the repeal of the previous constitution as stated in the Sixth Schedule?,264
